"Gene","10"
"F2","up"
"PROC","up"
"C1S","up"
"MMP14","up"
"F10","up"
"PLG","up"
"C1R","up"
"SERPINE1","up"
"SERPING1","up"
"C2","up"
"F12","up"
"CFI","up"
"MMP2","up"
"C3","up"
"F9","up"
"CTSO","up"
"TMPRSS6","up"
"MMP9","up"
"PROZ","up"
"MMP1","up"
"CFB","up"
"BMP1","up"
"VWF","up"
"FGA","up"
"F11","up"
"THBD","up"
"FURIN","up"
"MMP11","up"
"F8","up"
"LGMN","up"
"HPN","up"
"CTSB","up"
"MBL2","up"
"F13B","up"
"TIMP1","up"
"CTSL2","up"
"MMP8","up"
"A2M","up"
"MMP10","up"
"MASP2","up"
"FGG","up"
"C8A","up"
"PLAU","up"
"ADAM9","up"
"GSN","up"
"CAPN2","up"
"PLAT","up"
"FN1","up"
"CTSH","up"
"OLR1","up"
"SPARC","up"
"RGN","up"
"C8B","up"
"LAMP2","up"
"C9","up"
"PROS1","up"
"CLU","up"
"F2RL2","up"
"CD9","up"
"CFH","up"
"PREP","up"
"LTA4H","up"
"GP9","up"
"DUSP14","up"
"CTSK","up"
"GDA","up"
"CASP9","up"
"APOC1","up"
"CRIP2","up"
"KLK8","up"
"SERPINC1","up"
"ANXA1","up"
"ITIH1","up"
"PRSS23","up"
"FBN1","up"
"MST1","up"
"F3","up"
"KLF7","up"
"CTSE","up"
"ITGB3","up"
"CAPN5","up"
"CSRP1","up"
"KLKB1","up"
"MSRB2","up"
"TFPI2","up"
"MMP3","up"
"MEP1A","up"
"GP1BA","up"
"APOA1","up"
"SERPINA1","up"
"TF","up"
"PEF1","up"
"GNG12","up"
"SIRT2","up"
"COMP","up"
"HTRA1","up"
"MAFF","up"
"LRP1","up"
"PF4","up"
"PGCP","up"
"MMP15","up"
"RABIF","up"
"HRG","up"
"C8G","up"
"APOC2","up"
"SERPINB2","up"
"RAPGEF3","up"
"CPN1","up"
"ITGA2","up"
"RAC1","up"
"DPP4","up"
"WDR1","up"
"THBS1","up"
"FYN","up"
"PDGFB","up"
"SH2B2","up"
"PECAM1","up"
"MMP7","up"
"DUSP6","up"
"CPB2","up"
"S100A13","up"
"CFD","up"
"DCT","up"
"LEFTY2","up"
"ANG","up"
"C1QA","up"
"HMGCS2","up"
"ISCU","up"
"PLEK","up"
"APOC3","up"
"P2RY1","up"
"USP11","up"
"TIMP3","up"
"ACOX2","up"
"HNF4A","up"
"S100A1","up"
"GNB2","up"
"ARF4","up"
