"Gene","13"
"AURKA","up"
"BRCA2","up"
"CCP110","up"
"CENPE","up"
"CKS2","up"
"DCLRE1B","up"
"DNMT1","up"
"DONSON","up"
"EED","up"
"GINS1","up"
"GINS4","up"
"H2AFZ","up"
"LIG1","up"
"MAD2L1","up"
"MCM2","up"
"MCM4","up"
"MCM5","up"
"MCM7","up"
"MELK","up"
"MMS22L","up"
"NAA38","up"
"NASP","up"
"NUDT21","up"
"NUP205","up"
"ORC6","up"
"PCNA","up"
"PLK4","up"
"POLE","up"
"PRIM2","up"
"RAD51AP1","up"
"RFC2","up"
"RPA2","up"
"RPA3","up"
"SUV39H1","up"
"TMPO","up"
"UBE2T","up"
"WDR90","up"
"CDK1","up"
"MCM3","up"
"TOP2A","up"
"MCM6","up"
"BIRC5","up"
"CCNB2","up"
"RRM2","up"
"HMGB2","up"
"BUB1B","up"
"RFC3","up"
"EZH2","up"
"CHEK1","up"
"SMC4","up"
"MKI67","up"
"CDC20","up"
"PLK1","up"
"KIF2C","up"
"DLGAP5","up"
"AURKB","up"
"CDC25A","up"
"TRIP13","up"
"H2AFX","up"
"HMMR","up"
"E2F8","up"
"BRCA1","up"
"MYBL2","up"
"POLD1","up"
"RACGAP1","up"
"CKS1B","up"
"KPNA2","up"
"MSH2","up"
"CDKN3","up"
"ATAD2","up"
"RPA1","up"
"STMN1","up"
"TIPIN","up"
"TK1","up"
"CDCA8","up"
"ESPL1","up"
"NCAPD2","up"
"RANBP1","up"
"MRE11A","up"
"KIF4A","up"
"LMNB1","up"
"KIF22","up"
"UNG","up"
"SMC1A","up"
"CCNE1","up"
"CDCA3","up"
"ASF1B","up"
"POLA2","up"
"TIMELESS","up"
"HELLS","up"
"UBE2S","up"
"PRKDC","up"
"RAN","up"
"USP1","up"
"SPAG5","up"
"POLD3","up"
"DUT","up"
"TACC3","up"
"KIF18B","up"
"CDC25B","up"
"SRSF1","up"
"GINS3","up"
"NOLC1","up"
"SLBP","up"
"CHEK2","up"
"SPC25","up"
"BARD1","up"
"DCTPP1","up"
"SMC3","up"
"RNASEH2A","up"
"DEK","up"
"CENPM","up"
"RAD51C","up"
"CBX5","up"
"RFC1","up"
"POLD2","up"
"DSCC1","up"
"ILF3","up"
"DEPDC1","up"
"DCK","up"
"CDKN2C","up"
"MYC","up"
"TCF19","up"
"RAD1","up"
"LBR","up"
"NBN","up"
"PTTG1","up"
"UBR7","up"
"POLE4","up"
"TUBG1","up"
"CTCF","up"
"RQCD1","up"
"TUBB","up"
"SMC6","up"
"ZW10","up"
"PA2G4","up"
"SSRP1","up"
"NAP1L1","up"
"ANP32E","up"
"HMGB3","up"
"IPO7","up"
"RAD21","up"
"CDK4","up"
"CDKN1A","up"
"BRMS1L","up"
"CTPS","up"
"RAD50","up"
"TRA2B","up"
"CSE1L","up"
"PAICS","up"
"STAG1","up"
"LUC7L3","up"
"PPM1D","up"
"NME1","up"
"SRSF2","up"
"XPO1","up"
"HNRNPD","up"
"PMS2","up"
"ASF1A","up"
"EXOSC8","up"
"MLH1","up"
"NUP107","up"
"ORC2","up"
"TP53","up"
"TFRC","up"
"HMGA1","up"
"PSIP1","up"
"DDX39A","up"
"SNRPB","up"
"CDKN1B","up"
"MTHFD2","up"
"WEE1","up"
"PRDX4","up"
"PHF5A","up"
"TBRG4","up"
"SHMT1","up"
"PRPS1","up"
"DIAPH3","up"
"NUP153","up"
"PSMC3IP","up"
"XRCC6","up"
"PNN","up"
"HUS1","up"
"RBBP7","up"
"PDS5B","up"
"NOP56","up"
"MXD3","up"
"PPP1R8","up"
"GSPT1","up"
"CDKN2A","up"
"AK2","up"
"CIT","up"
"ING3","up"
"HN1","up"
"POP7","up"
"SYNCRIP","up"
"EIF2S1","up"
"LYAR","up"
"PAN2","up"
"SPC24","up"
