"Gene","14"
"COL3A1","up"
"COL5A2","up"
"COL5A1","up"
"FBN1","up"
"COL1A1","up"
"FN1","up"
"COL6A3","up"
"SERPINE1","up"
"COL1A2","up"
"COL4A1","up"
"COL4A2","up"
"VCAN","up"
"IGFBP3","up"
"TGFBI","up"
"SPARC","up"
"LUM","up"
"LAMC1","up"
"LOX","up"
"LAMC2","up"
"CTGF","up"
"TAGLN","up"
"COL7A1","up"
"LOXL2","up"
"COL6A2","up"
"ITGAV","up"
"THBS2","up"
"COL16A1","up"
"NNMT","up"
"TPM1","up"
"CDH2","up"
"MMP2","up"
"COL11A1","up"
"THBS1","up"
"FAP","up"
"BGN","up"
"SERPINH1","up"
"FSTL1","up"
"POSTN","up"
"THY1","up"
"SPP1","up"
"TNC","up"
"TFPI2","up"
"NID2","up"
"ITGB5","up"
"MMP3","up"
"VIM","up"
"LOXL1","up"
"FBLN5","up"
"COL12A1","up"
"ELN","up"
"CDH11","up"
"COMP","up"
"SPOCK1","up"
"BMP1","up"
"IL32","up"
"LAMA3","up"
"TIMP1","up"
"QSOX1","up"
"TIMP3","up"
"VCAM1","up"
"CYR61","up"
"EDIL3","up"
"CALD1","up"
"MAGEE1","up"
"FBLN1","up"
"SGCB","up"
"ECM1","up"
"LAMA2","up"
"FSTL3","up"
"TPM2","up"
"INHBA","up"
"DAB2","up"
"EMP3","up"
"BASP1","up"
"ITGA5","up"
"MGP","up"
"VEGFA","up"
"CXCL1","up"
"WNT5A","up"
"SDC1","up"
"PLOD2","up"
"PCOLCE","up"
"GREM1","up"
"ITGB1","up"
"COL5A3","up"
"RHOB","up"
"HTRA1","up"
"FGF2","up"
"SNTB1","up"
"GADD45A","up"
"MEST","up"
"LRRC15","up"
"TNFRSF11B","up"
"CD59","up"
"ACTA2","up"
"EFEMP2","up"
"MATN2","up"
"PCOLCE2","up"
"SERPINE2","up"
"GPC1","up"
"ABI3BP","up"
"FUCA1","up"
"SLIT3","up"
"LAMA1","up"
"PMEPA1","up"
"COL8A2","up"
"FBN2","up"
"IGFBP2","up"
"PFN2","up"
"SDC4","up"
"CD44","up"
"GADD45B","up"
"IL8","up"
"GLIPR1","up"
"ANPEP","up"
"LEPRE1","up"
"VEGFC","up"
"MMP14","up"
"SGCD","up"
"PLOD1","up"
"MATN3","up"
"MYL9","up"
"SLC6A8","up"
"CALU","up"
"PRRX1","up"
"TNFRSF12A","up"
"FMOD","up"
"ID2","up"
"GEM","up"
"PLAUR","up"
"MYLK","up"
"TGFB1","up"
"SFRP1","up"
"PLOD3","up"
"IL6","up"
"APLP1","up"
"FBLN2","up"
"MSX1","up"
"PTX3","up"
"FZD8","up"
"JUN","up"
"FERMT2","up"
"DKK1","up"
"SNAI2","up"
"DST","up"
"TPM4","up"
"DCN","up"
"GJA1","up"
"PMP22","up"
"IGFBP4","up"
"COPA","up"
"LRP1","up"
"ITGA2","up"
"FLNA","up"
"MFAP5","up"
"PTHLH","up"
"TGFBR3","up"
"SFRP4","up"
"LGALS1","up"
"RGS4","up"
"CDH6","up"
"SAT1","up"
"NT5E","up"
"DPYSL3","up"
"PPIB","up"
"TGM2","up"
"SGCG","up"
"ITGB3","up"
"PDLIM4","up"
"CTHRC1","up"
"ECM2","up"
"CRLF1","up"
"AREG","up"
"IL15","up"
"MCM7","up"
"GAS1","up"
"PRSS2","up"
"CADM1","up"
"OXTR","up"
"SCG2","up"
"CXCL6","up"
"MMP1","up"
"TNFAIP3","up"
"CAPG","up"
"CAP2","up"
"MXRA5","up"
"FOXC2","up"
"NTM","up"
"ENO2","up"
"FAS","up"
"BDNF","up"
"ADAM12","up"
"PVR","up"
"CXCL12","up"
"PDGFRB","up"
"SLIT2","up"
"NOTCH2","up"
"GLT25D1","up"
"GPX7","up"
"WIPF1","up"
