"Gene","19"
"PGK1","up"
"ALDOA","up"
"ENO1","up"
"TPI1","up"
"PFKP","up"
"ERO1L","up"
"ALDOB","up"
"VEGFA","up"
"MXI1","up"
"PKM2","up"
"HK2","up"
"LDHA","up"
"EXT1","up"
"SLC25A10","up"
"GUSB","up"
"PFKFB1","up"
"PGAM1","up"
"PYGB","up"
"AK4","up"
"P4HA1","up"
"PMM2","up"
"FAM162A","up"
"SDC1","up"
"EGLN3","up"
"PC","up"
"B4GALT7","up"
"FBP2","up"
"IGFBP3","up"
"CHPF","up"
"B3GAT3","up"
"CHST12","up"
"HS2ST1","up"
"MPI","up"
"GNPDA1","up"
"AKR1A1","up"
"PPFIA4","up"
"B3GAT1","up"
"CHPF2","up"
"G6PD","up"
"MDH2","up"
"CHST6","up"
"PGLS","up"
"PGAM2","up"
"CHST1","up"
"GPC1","up"
"TSTA3","up"
"ALG1","up"
"GFPT1","up"
"PRPS1","up"
"GOT1","up"
"MDH1","up"
"SLC35A3","up"
"GALK1","up"
"EGFR","up"
"ANGPTL4","up"
"CITED2","up"
"PLOD2","up"
"QSOX1","up"
"ME2","up"
"SPAG4","up"
"P4HA2","up"
"GAPDHS","up"
"ENO2","up"
"GOT2","up"
"EXT2","up"
"SLC25A13","up"
"HMMR","up"
"PDK3","up"
"CXCR4","up"
"GPC4","up"
"ECD","up"
"GNE","up"
"B4GALT2","up"
"FUT8","up"
"MIOX","up"
"VCAN","up"
"GPC3","up"
"B3GALT6","up"
"HSPA5","up"
"ME1","up"
"ADORA2B","up"
"UGP2","up"
"MIF","up"
"NANP","up"
"ZNF292","up"
"STC2","up"
"TPST1","up"
"PGM2","up"
"GYS1","up"
"TKTL1","up"
"TGFA","up"
"CHST2","up"
"PHKA2","up"
"STMN1","up"
"GALE","up"
"MET","up"
"LCT","up"
"IRS2","up"
"POLR3K","up"
"B4GALT1","up"
"EFNA3","up"
"LHX9","up"
"KDELR3","up"
"TALDO1","up"
"DPYSL4","up"
"VLDLR","up"
"CD44","up"
"AGL","up"
"SOX9","up"
"DDIT4","up"
"IDUA","up"
"CASP6","up"
"GLCE","up"
"COPB2","up"
"DSC2","up"
"HS6ST2","up"
"CDK1","up"
"PLOD1","up"
"SDC2","up"
"GMPPB","up"
"PAXIP1","up"
"NSDHL","up"
"RARS","up"
"SLC16A3","up"
"GLRX","up"
"SRD5A3","up"
"SDC3","up"
"HDLBP","up"
"COL5A1","up"
"CLDN9","up"
"TFF3","up"
"STC1","up"
"KIF20A","up"
"GYS2","up"
"SLC37A4","up"
"LHPP","up"
"SDHC","up"
"NASP","up"
"AURKA","up"
"B3GNT3","up"
"ISG20","up"
"LDHC","up"
"ARPP19","up"
"CENPA","up"
"HOMER1","up"
"BIK","up"
"CYB5A","up"
"HAX1","up"
"COG2","up"
"IL13RA1","up"
"NOL3","up"
"CLDN3","up"
"AGRN","up"
"CLN6","up"
"TXN","up"
"PAM","up"
"CAPN5","up"
"PKP2","up"
"ABCB6","up"
"DCN","up"
"GMPPA","up"
"BPNT1","up"
"ANG","up"
"GPR87","up"
"GAL3ST1","up"
"ALDH7A1","up"
"NT5E","up"
"IDH1","up"
"PYGL","up"
"NDUFV3","up"
"NDST3","up"
"PPP2CB","up"
"PSMC4","up"
"TPBG","up"
"TGFBI","up"
"GALK2","up"
"CTH","up"
"KIF2A","up"
"CACNA1H","up"
"ANKZF1","up"
"SAP30","up"
"RBCK1","up"
"ELF3","up"
"RPE","up"
"B4GALT4","up"
"DEPDC1","up"
"RRAGD","up"
"IER3","up"
"ALDH9A1","up"
"DLD","up"
"MERTK","up"
"GCLC","up"
"FKBP4","up"
"SOD1","up"
"MED24","up"
"AK3","up"
"XYLT2","up"
"ARTN","up"
"PPIA","up"
"CHST4","up"
