"Gene","26"
"MX1","up"
"ISG15","up"
"OAS1","up"
"IFIT3","up"
"IFI44","up"
"IFI35","up"
"IRF7","up"
"RSAD2","up"
"IFI44L","up"
"IFITM1","up"
"IFI27","up"
"IRF9","up"
"OASL","up"
"EIF2AK2","up"
"IFIT2","up"
"CXCL10","up"
"TAP1","up"
"SP110","up"
"DDX60","up"
"UBE2L6","up"
"USP18","up"
"PSMB8","up"
"IFIH1","up"
"BST2","up"
"LGALS3BP","up"
"ADAR","up"
"ISG20","up"
"GBP2","up"
"IRF1","up"
"PLSCR1","up"
"PSMB9","up"
"HERC6","up"
"SAMD9","up"
"CMPK2","up"
"IFITM3","up"
"RTP4","up"
"STAT2","up"
"SAMD9L","up"
"LY6E","up"
"IFITM2","up"
"PRIC285","up"
"CXCL11","up"
"TRIM21","up"
"PARP14","up"
"TRIM26","up"
"PARP12","up"
"NMI","up"
"RNF31","up"
"HLA-C","up"
"CASP1","up"
"TRIM14","up"
"TDRD7","up"
"DHX58","up"
"PARP9","up"
"PNPT1","up"
"TRIM25","up"
"PSME1","up"
"WARS","up"
"EPSTI1","up"
"UBA7","up"
"PSME2","up"
"B2M","up"
"TRIM5","up"
"C1S","up"
"LAP3","up"
"LAMP3","up"
"GBP4","up"
"NCOA7","up"
"TMEM140","up"
"CD74","up"
"GMPR","up"
"PSMA3","up"
"PROCR","up"
"IL7","up"
"IFI30","up"
"IRF2","up"
"CSF1","up"
"IL15","up"
"CNP","up"
"FAM46A","up"
"IL4R","up"
"FTSJD2","up"
"CD47","up"
"LPAR6","up"
"MOV10","up"
"CASP8","up"
"TXNIP","up"
"SLC25A28","up"
"SELL","up"
"TRAFD1","up"
"BATF2","up"
"RIPK2","up"
"CCRL2","up"
"NUB1","up"
"OGFR","up"
"FAM125A","up"
"ELF1","up"
