"Gene","15"
"GREB1","up"
"CA12","up"
"SLC9A3R1","up"
"MYB","up"
"ANXA9","up"
"IGFBP4","up"
"SYBU","up"
"NPY1R","up"
"PDZK1","up"
"NRIP1","up"
"MLPH","up"
"HSPB8","up"
"EGR3","up"
"KRT19","up"
"LRIG1","up"
"KDM4B","up"
"PGR","up"
"RHOBTB3","up"
"TPD52L1","up"
"ELOVL2","up"
"RET","up"
"TPBG","up"
"TFF1","up"
"MAPT","up"
"SCNN1A","up"
"ABAT","up"
"FLNB","up"
"XBP1","up"
"CELSR2","up"
"RAB31","up"
"MYBL1","up"
"MREG","up"
"FAM102A","up"
"MSMB","up"
"STC2","up"
"FAM134B","up"
"SIAH2","up"
"ZNF185","up"
"SLC19A2","up"
"SLC1A4","up"
"FHL2","up"
"BCL2","up"
"PMAIP1","up"
"AREG","up"
"OVOL2","up"
"TSKU","up"
"ADCY9","up"
"RASGRP1","up"
"MUC1","up"
"KAZN","up"
"SLC27A2","up"
"FKBP4","up"
"CXCL12","up"
"TMPRSS3","up"
"RARA","up"
"IL17RB","up"
"CBFA2T3","up"
"TFF3","up"
"UGCG","up"
"CCND1","up"
"SLC22A5","up"
"WFS1","up"
"PTGES","up"
"WWC1","up"
"WISP2","up"
"MYC","up"
"ITPK1","up"
"TMEM164","up"
"ARL3","up"
"MED13L","up"
"SEMA3B","up"
"KRT18","up"
"SLC16A1","up"
"TJP3","up"
"SLC26A2","up"
"FAIM3","up"
"SULT2B1","up"
"SNX24","up"
"TFAP2C","up"
"TTC39A","up"
"GJA1","up"
"PRSS23","up"
"OLFM1","up"
"RAPGEFL1","up"
"ASB13","up"
"TIPARP","up"
"ABCA3","up"
"FRK","up"
"DHRS2","up"
"AQP3","up"
"KCNK15","up"
"TGIF2","up"
"FOXC1","up"
"ELF3","up"
"REEP1","up"
"PEX11A","up"
"PODXL","up"
"KLF4","up"
"BAG1","up"
"CELSR1","up"
"PLA2G16","up"
"SLC7A5","up"
"MPPED2","up"
"TIAM1","up"
"CLDN7","up"
"MYOF","up"
"RBBP8","up"
"OLFML3","up"
"GFRA1","up"
"FARP1","up"
"SVIL","up"
"TGM2","up"
"DEPTOR","up"
"CYP26B1","up"
"PAPSS2","up"
"SLC1A1","up"
"DLC1","up"
"JAK2","up"
"AFF1","up"
"KLK10","up"
"P2RY2","up"
"BLVRB","up"
"CISH","up"
"GLA","up"
"ADD3","up"
"PDLIM3","up"
"FAM63A","up"
"FOS","up"
"KRT8","up"
"SLC37A1","up"
"B4GALT1","up"
"CALCR","up"
"ESRP2","up"
"IGF1R","up"
"NBL1","up"
"SFN","up"
"OPN3","up"
"ABHD2","up"
"AR","up"
"SLC39A6","up"
"SYT12","up"
"CD44","up"
"MED24","up"
"BCL11B","up"
"CANT1","up"
"KRT13","up"
"KRT15","up"
"TOB1","up"
"SLC7A2","up"
"LAD1","up"
"TUBB2B","up"
"TBC1D30","up"
"SEC14L2","up"
"ENDOD1","up"
"HR","up"
"SCARB1","up"
"NCOR2","up"
"RHOD","up"
"INPP5F","up"
"PPIF","up"
"DHRS3","up"
"FDFT1","up"
"GAB2","up"
"UNC119","up"
"KLF10","up"
"HES1","up"
"FKBP5","up"
"SLC2A1","up"
"AMFR","up"
"NADSYN1","up"
"INHBB","up"
"BHLHE40","up"
"CALB2","up"
"FASN","up"
"CHPT1","up"
"MYBBP1A","up"
"ELOVL5","up"
"DYNLT3","up"
"ABLIM1","up"
"SOX3","up"
"SLC24A3","up"
"RAB17","up"
"MAST4","up"
"KCNK5","up"
"ELF1","up"
"RPS6KA2","up"
"ISG20L2","up"
"IL6ST","up"
"SYNGR1","up"
"SH3BP5","up"
"ALDH3B1","up"
"THSD4","up"
"CLIC3","up"
"NXT1","up"
"NAV2","up"
"RRP12","up"
"ADCY1","up"
"DHCR7","up"
"MICB","up"
"AKAP1","up"
