"Gene","31"
"FADS1","up"
"DDIT4","up"
"CALR","up"
"HK2","up"
"PGK1","up"
"SLC7A5","up"
"CTSC","up"
"ACSL3","up"
"SLC1A5","up"
"M6PR","up"
"TFRC","up"
"DDIT3","up"
"TMEM97","up"
"IFRD1","up"
"PLOD2","up"
"TUBA4A","up"
"PSAT1","up"
"CORO1A","up"
"LDHA","up"
"MTHFD2","up"
"FADS2","up"
"VLDLR","up"
"WARS","up"
"SCD","up"
"P4HA1","up"
"ACTR2","up"
"IDH1","up"
"SLC2A1","up"
"GBE1","up"
"SERPINH1","up"
"NUPR1","up"
"PSMG1","up"
"PSPH","up"
"NAMPT","up"
"CDKN1A","up"
"BHLHE40","up"
"HSPA9","up"
"HSPA5","up"
"EGLN3","up"
"LGMN","up"
"PNP","up"
"XBP1","up"
"SLA","up"
"DDX39A","up"
"HSPE1","up"
"ACLY","up"
"SLC7A11","up"
"SSR1","up"
"GLA","up"
"SQSTM1","up"
"PDK1","up"
"PSMC2","up"
"PRDX1","up"
"SERP1","up"
"TRIB3","up"
"NFIL3","up"
"HMGCS1","up"
"GOT1","up"
"TPI1","up"
"ELOVL6","up"
"ASNS","up"
"PSMD14","up"
"PSMA4","up"
"PPA1","up"
"HPRT1","up"
"AURKA","up"
"HMGCR","up"
"GAPDH","up"
"DHFR","up"
"DHCR7","up"
"IMMT","up"
"UCHL5","up"
"YKT6","up"
"INSIG1","up"
"SQLE","up"
"IGFBP5","up"
"IFI30","up"
"CYP51A1","up"
"FGL2","up"
"ENO1","up"
"IDI1","up"
"CYB5B","up"
"SHMT2","up"
"TXNRD1","up"
"G6PD","up"
"SLC9A3R1","up"
"RAB1A","up"
"EBP","up"
"PNO1","up"
"PIK3R3","up"
"ACTR3","up"
"LDLR","up"
"SLC2A3","up"
"UBE2D3","up"
"ELOVL5","up"
"CACYBP","up"
"EDEM1","up"
"ATP6V1D","up"
"TES","up"
"TM7SF2","up"
"PSMA3","up"
"ITGB2","up"
"AK4","up"
"SLC1A4","up"
"TOMM40","up"
"SLC6A6","up"
"PPIA","up"
"ADD3","up"
"ME1","up"
"CCNF","up"
"SLC37A4","up"
"ALDOA","up"
"BTG2","up"
"UFM1","up"
"CCNG1","up"
"STC1","up"
"NMT1","up"
"PSMC6","up"
"FDXR","up"
"RRM2","up"
"DHCR24","up"
"PSMC4","up"
"CTH","up"
"PSME3","up"
"CFP","up"
"POLR3G","up"
"ACACA","up"
"QDPR","up"
"MCM2","up"
"PSMD12","up"
"SC5DL","up"
"CANX","up"
"RPN1","up"
"HSPA4","up"
"FAM129A","up"
"TBK1","up"
"SEC11A","up"
"BCAT1","up"
"PSMB5","up"
"PSMD13","up"
"PGM1","up"
"PLK1","up"
"GLRX","up"
"COPS5","up"
"ETF1","up"
"GSK3B","up"
"NUP205","up"
"SORD","up"
"PHGDH","up"
"GMPS","up"
"RRP9","up"
"EEF1E1","up"
"LTA4H","up"
"SDF2L1","up"
"FKBP2","up"
"RDH11","up"
"CXCR4","up"
"MLLT11","up"
"GCLC","up"
"TCEA1","up"
"MAP2K3","up"
"HSPD1","up"
"SYTL2","up"
"MCM4","up"
"PPP1R15A","up"
"USO1","up"
"NFKBIB","up"
"UNG","up"
"GTF2H1","up"
"RPA1","up"
"HSP90B1","up"
"ERO1L","up"
"GSR","up"
"PITPNB","up"
"EPRS","up"
"SRD5A1","up"
"TUBG1","up"
"MTHFD2L","up"
"ADIPOR2","up"
"NUFIP1","up"
"CDC25A","up"
"PDAP1","up"
"STARD4","up"
"BUB1","up"
"ARPC5L","up"
"GPI","up"
"EIF2S2","up"
"CD9","up"
"ATP2A2","up"
"GGA2","up"
"HMBS","up"
"RIT1","up"
"SKAP2","up"
"STIP1","up"
"DAPP1","up"
"ABCF2","up"
"NFYC","up"
"ATP5G1","up"
"PFKL","up"
"CCT6A","up"
